version,name,statement_count,statements_md5
20260828152833,zuno_identity_and_onboarding_v1,1,965ee7395b07807e92191cbbab56c6bf
20260828153711,zuno_nickname_compatibility_v1,1,804cf4ce0cbeae6ef1df5d34097721ce
20260828155358,audit_harden_identity_and_fk_indexes,1,a1d97644dbbb32896969a53550a53c2d
20260828160653,remove_obsolete_game_rpcs,1,8bcd7035e502bed11f164a3b20f62b63
20260828160822,restrict_zuno_id_availability_to_authenticated,1,eb7472f748030e5ca4c9854afe6fb1fd
20260828160952,optimize_rls_auth_initplan_and_room_bans_policies,1,5049ea366ee139c915479af29265b779
20260828162557,add_safe_zuno_profile_update_rpc,1,ec6cace8401b02e8718e025fa3eccfcf
20260828191852,harden_voice_room_seats_and_rpcs,1,26c1f07ca04305f2bfa5e613d14d69e9
20260828191904,restrict_room_rpc_execution,1,b26f9d2ae4b375e25c2b870fc5e11c69
20260828192107,improve_private_message_notifications,1,ba78d0e9f60520e0be293eb1774d42a9
20260828192658,restrict_notifications_to_friend_requests_rewards_system,1,fd5be22f5fc5da2836c555f577f2ae8e
20260828193234,add_notification_seen_state,1,58842b3c9321105728114d63f00886a0
20260828193755,remove_legacy_notification_system,1,735e53d78515469fc74f1dd3256f432c
20260828195735,zuno_messages_foundation_v1_retry,1,b7b3ee2c07a84796e3d802f90f22cdd0
20260828200146,zuno_messages_preserve_legacy_read_state,1,740e90950280e7a10d8a31d30623ef84
20260828200214,zuno_messages_interaction_rules_v1,1,8f760e73069e5b2d552114e618e5cd17
20260828200305,zuno_messages_notifications_v1,1,f7e8ff25e724c06554189590f8622da9
20260828200348,zuno_messages_global_group_delivery_v1,1,6011285582b2bb3253adfcfda0e36496
20260828200424,zuno_messages_group_management_v1,1,08f47ede69a075344381b9de3db3326d
20260828200716,zuno_messages_block_grants_hardening,1,5a19f63545e529ba5e70194e067bffa0
20260828200736,zuno_messages_performance_indexes_v1,1,58504a056a9bdc75404d81a6472492ab
20260828202712,add_momentos_social_feed,1,7c20cd98510a885cf5daf1c8036dcdbc
20260828202942,enable_momentos_realtime,1,64f45dba59542fd49e67512191ce6250
20260828215532,pulso_social_phase2_12,1,10d3fa8b7771f32e18c72e1a2dff6030
20260828215837,pulso_notification_dedupe,1,4fee578a654e43f34121fc092f9edb69
20260828215905,pulso_block_privacy,1,7011dd838c40d759ee3225651486987b
20260828220029,pulso_sources_views_and_reply_notifications,1,6bde2899e64ba703ff0b6fc46a20f442
20260828222554,add_room_message_media,1,3d27ce0f5fe0e2254737e13aa262fe63
20260828225746,room_v1_social_systems,1,8afb416fa98c4c039df34c23656f1809
20260828230307,room_members_authenticated_update_grant,1,38aaadec85e530bed6cf4996f96f2fd0
20260828232314,message_inbox_social_actions,1,e2a7c16aaf202c311016f2e230af481c
20260829000931,audit_v279_security_rls_and_indexes,1,d570b5dd49d258bf0be2ab45685f027f
20260829014208,expand_room_stage_to_10_seats_v2,1,c3548ac90d354e90b219653671fff25f
20260829061607,zuno_stack_authoritative_match_state,1,793e4a855aa8fb8546caa19483724fea
20260829063057,optimize_zuno_stack_state_rls_and_fk,1,7c3314ea9378c6878f9d63e61d13f82d
20260829125930,zuno_stack_authority_lease,1,31c11d191ee4dedbc0418e5747c03c86
20260829132038,harden_room_rewards_and_fix_zuno_stack_progress,1,0283e75e3f6d283a263323af3fa60ba8
20260829132240,scope_desafio_progress_trigger_to_desafio_scores,1,e2116c3675a96d65bd518e8bb31a2dc2
20260829132552,enforce_eight_seat_voice_rooms_and_stack_host_index,1,aff354850d85ebeb260906c5b2364104
20260829133154,zuno_stack_game_events,1,ec323c432d9c2ce7537c31d29af40f6d
20260829133507,harden_room_visibility_and_friends_access,1,a7fae852df2b40893040042ac67d60a6
20260829133744,etapa19_block_private_room_direct_join,1,bcd3ea9f5694bed51f7d92beedbe19f1
20260829134715,etapa19_fix_room_join_audience_and_direct_insert,1,ef549c84c4f6c9e4ca9804cd4225396b
20260829134817,etapa19_fix_room_rpc_rowcount_checks,1,467f79323bf36ff5ff3b3e1ccd412548
20260829134906,etapa19_restrict_room_member_visibility,1,da48517ecbdb847e50b46acf24c1338d
